Date,Month,Year,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/1/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,90.64,62
1/1/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,7.2,4
1/1/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,86.32,28
1/1/13,1,2013,Tablet,Google,Legacy,Search,Global,Brand,9.26,6
1/2/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,1.9,6
1/3/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,196.52,162
1/3/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,0.4,2
1/4/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,41.88,36
1/4/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,3.9,12
1/6/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,2267.16,390
1/6/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,7.5,18
1/6/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,3.42,6
1/7/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,1.38,4
1/8/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,5512.32,1132
1/9/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,2.72,2
1/11/13,1,2013,Tablet,Google,Legacy,Search,Global,NB,7.58,2
1/11/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,5.18,6
1/12/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,520.44,152
1/12/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,14.86,22
1/12/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,114.66,34
1/13/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,206.34,104
1/14/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,760.5,324
1/14/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,3229.76,1000
1/14/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,25.68,26
1/14/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,66.1,30
1/14/13,1,2013,Tablet,Google,Legacy,Search,Global,Brand,1.3,2
1/15/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,659.08,280
1/16/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,3378.98,956
1/16/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,3.78,12
1/16/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,216.16,42
1/17/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,9.22,16
1/18/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,256.4,158
1/18/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,0.48,2
1/18/13,1,2013,Mobile,Google,Legacy,Search,Global,NB,1.54,2
1/18/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,18.72,18
1/18/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,219.98,52
1/19/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,4.84,14
1/19/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,1.78,4
1/20/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,177.94,106
1/20/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,3.74,2
1/21/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,17.56,30
1/21/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,3.68,6
1/22/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,24.2,14
1/23/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,7754.66,1078
1/23/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,21.34,38
1/23/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,0.12,8
1/24/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,11.06,6
1/25/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,7767.38,930
1/27/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,9.92,16
1/27/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,114.82,34
1/28/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,4.3,2
1/29/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,878.02,240
1/29/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,12.34,12
1/29/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,108.4,54
1/30/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,893.2,320
1/30/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,14.82,10
1/31/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,1062.16,256
1/31/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,3964.2,988
1/31/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,6.9,18
1/31/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,169.1,38
1/31/13,1,2013,Tablet,Google,Legacy,Search,Global,Brand,8.44,6
2/1/13,2,2013,Desktop,Google,Legacy,Search,LATAM,NB,915.1,262
2/2/13,2,2013,Desktop,Google,Legacy,Search,EMEA,NB,1737.4,466
2/2/13,2,2013,Desktop,Google,Legacy,Search,Global,Brand,75.86,60
2/2/13,2,2013,Mobile,Google,Legacy,Search,LATAM,NB,0.04,4
2/2/13,2,2013,Tablet,Google,Legacy,Search,AMS,NB,168.82,34
2/2/13,2,2013,Tablet,Google,Legacy,Search,Global,Brand,6.6,4
1/1/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,2.72,8
1/2/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,276.72,140
1/2/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,0.2,4
1/2/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,5.5,6
1/2/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,115.44,42
1/3/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,0.04,4
1/5/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,2352.2,344
1/5/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,9.4,20
1/5/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,1.24,10
1/6/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,8.78,6
1/7/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,7272.54,1058
1/7/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,22.14,24
1/8/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,1.3,8
1/10/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,22.18,10
1/11/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,7.02,14
1/11/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,57.32,36
1/12/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,3.08,4
1/13/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,668.4,232
1/13/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,1480.34,454
1/13/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,7.06,10
1/13/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,129.26,34
1/14/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,751.76,282
1/15/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,1050.42,340
1/15/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,3245.9,882
1/15/13,1,2013,Mobile,Google,Legacy,Search,Global,NB,0.52,2
1/15/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,0.6,8
1/15/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,160.88,34
1/16/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,956.68,310
1/16/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,1.26,18
1/17/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,270.66,142
1/17/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,0.46,2
1/17/13,1,2013,Mobile,Google,Legacy,Search,LATAM,NB,4.16,6
1/17/13,1,2013,Tablet,Google,Legacy,Search,AMS,NB,98.92,66
1/18/13,1,2013,Mobile,Google,Legacy,Search,EMEA,NB,5.6,10
1/19/13,1,2013,Desktop,Google,Legacy,Search,Global,Brand,166.54,92
1/19/13,1,2013,Desktop,Google,Legacy,Search,Global,NB,9.96,4
1/20/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,40.52,42
1/20/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,0.04,4
1/22/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,8174.44,1220
1/22/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,33.7,44
1/22/13,1,2013,Mobile,Google,Legacy,Search,Global,Brand,5.98,12
1/23/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,18.42,4
1/24/13,1,2013,Desktop,Google,Legacy,Search,AMS,NB,7552.24,978
1/24/13,1,2013,Mobile,Google,Legacy,Search,AMS,NB,36.34,42
1/25/13,1,2013,Tablet,Google,Legacy,Search,APAC,NB,17.52,2
1/27/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,18.5,6
1/28/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,5.86,12
1/28/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,50.6,46
1/29/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,861.48,300
1/29/13,1,2013,Tablet,Google,Legacy,Search,LATAM,NB,28,12
1/30/13,1,2013,Desktop,Google,Legacy,Search,APAC,NB,665.64,286
1/30/13,1,2013,Desktop,Google,Legacy,Search,EMEA,NB,4178.56,1138
1/30/13,1,2013,Mobile,Google,Legacy,Search,APAC,NB,11.74,18
1/30/13,1,2013,Tablet,Google,Legacy,Search,EMEA,NB,148.42,40
1/31/13,1,2013,Desktop,Google,Legacy,Search,LATAM,NB,996.94,288
2/1/13,2,2013,Desktop,Google,Legacy,Search,APAC,NB,496.36,184
2/1/13,2,2013,Desktop,Google,Legacy,Search,EMEA,NB,3414.98,918
2/1/13,2,2013,Mobile,Google,Legacy,Search,LATAM,NB,12.88,10
2/1/13,2,2013,Tablet,Google,Legacy,Search,AMS,NB,100.42,24
2/1/13,2,2013,Tablet,Google,Legacy,Search,Global,Brand,0.06,2
