Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/1/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1074.74,3752
1/1/2013,1,Mobile,Google,Reach,Display,Global,Reach,845.78,1050
1/1/2013,1,Tablet,Google,Reach,Display,Global,Reach,420.8,350
1/2/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,88.4,136
1/2/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,17.06,82
1/3/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,465.76,3398
1/3/2013,1,Tablet,Google,Reach,Display,Global,Reach,361.94,262
1/4/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,23.06,104
1/5/2013,1,Desktop,Google,Reach,Display,Global,Reach,273.86,164
1/5/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,93.32,824
1/5/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,13.98,6
1/5/2013,1,Tablet,Google,Reach,Display,Global,Reach,324.64,262
1/6/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,236.28,172
1/7/2013,1,Desktop,Google,Reach,Display,Global,Reach,653.32,356
1/7/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,92.32,162
1/7/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,61.4,700
1/7/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,15.74,10
1/7/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,51.44,58
1/8/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,282.22,250
1/8/2013,1,Mobile,Google,Reach,Display,Global,Reach,495.92,608
1/9/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,90.18,138
1/9/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,46.62,62
1/9/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,46.2,456
1/9/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,17.96,14
1/9/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,19.04,84
1/10/2013,1,Mobile,Google,Reach,Display,Global,Reach,829.9,1018
1/11/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,61.46,120
1/11/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,72.5,94
1/11/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,21.2,130
1/12/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,3.9,6
1/13/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,513.64,3532
1/13/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,202.42,1208
1/14/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,3.92,8
1/14/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,34.66,264
1/14/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,3.9,2
1/15/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,3744.76,19428
1/15/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,3261.42,9770
1/15/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,129.44,718
1/16/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,91.06,208
1/16/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,10.96,66
1/16/2013,1,Tablet,Google,Reach,Display,AMS,Reach,301.228,2952
1/16/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,3.14,6
1/16/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,10.88,10
1/17/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1722.16,5886
1/18/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4092.5,17638
