Date,Month,Year,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
6/16/13,6,2013,Tablet,Youtube,Reach,Video,Global,Reach,0.2,2
6/27/13,6,2013,Desktop,Youtube,Reach,Video,Global,Reach,16.84,14
6/27/13,6,2013,Mobile,Youtube,Reach,Video,Global,Reach,1407.02,660
6/28/13,6,2013,Desktop,Youtube,Reach,Video,Global,Reach,973.28,1046
6/28/13,6,2013,Mobile,Youtube,Reach,Video,Global,Reach,2600.04,568
6/28/13,6,2013,Tablet,Youtube,Reach,Video,Global,Reach,131.8,42
6/29/13,6,2013,Desktop,Youtube,Reach,Video,Global,Reach,140.42,178
6/29/13,6,2013,Mobile,Youtube,Reach,Video,Global,Reach,120.06,28
6/30/13,6,2013,Desktop,Youtube,Reach,Video,Global,Reach,106.7,104
6/30/13,6,2013,Mobile,Youtube,Reach,Video,Global,Reach,58.06,6
6/30/13,6,2013,Tablet,Youtube,Reach,Video,Global,Reach,2.98,2
7/3/13,7,2013,Desktop,Youtube,Reach,Video,Global,Reach,0,2
7/16/13,7,2013,Desktop,Youtube,Reach,Video,Global,Brand,90.34,128
7/16/13,7,2013,Mobile,Youtube,Reach,Video,Global,Brand,14.16,2
7/17/13,7,2013,Desktop,Youtube,Reach,Video,Global,Brand,94.84,118
7/17/13,7,2013,Mobile,Youtube,Reach,Video,Global,Brand,10.4,2
7/18/13,7,2013,Desktop,Youtube,Reach,Video,Global,Brand,77.96,110
7/18/13,7,2013,Mobile,Youtube,Reach,Video,Global,Brand,14.9,2
8/13/13,8,2013,Desktop,Youtube,Reach,Video,Global,Brand,0,2
9/10/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,17.44,16
9/11/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,24.96,42
9/11/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,28.72,4
9/11/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,8.68,4
9/12/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,9.9,8
9/12/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,30.04,8
9/12/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,10.26,2
9/13/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,14.96,8
9/13/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,29.78,8
9/13/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,18.22,4
9/14/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,25.28,18
9/14/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,36.52,2
9/14/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,38.54,2
9/15/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,40.92,46
9/15/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,36.74,8
9/15/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,50.12,2
9/16/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,20.76,36
9/16/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,29.68,4
9/17/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,6.16,8
9/18/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,10.04,8
9/18/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,21.98,2
9/19/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,9.42,12
9/19/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,21.76,2
9/19/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,9.86,2
9/20/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,6.66,14
9/20/13,9,2013,Tablet,Youtube,Reach,Video,Global,Reach,5.8,2
9/21/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,16.88,18
9/21/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,32.62,8
9/22/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,19.72,10
9/22/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,45.64,2
9/23/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,6.64,16
9/23/13,9,2013,Mobile,Youtube,Reach,Video,Global,Reach,8.28,2
9/24/13,9,2013,Desktop,Youtube,Reach,Video,Global,Reach,2.84,4
